city,sample_type,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
CAL,Adult_Chironomidae,Evenness,CAL_DWN,CAL_UP,6,5,4,0.052,0.052,ns
CAL,Adult_Heptageniidae,Evenness,CAL_DWN,CAL_UP,6,6,13,0.485,0.485,ns
CAL,Adult_Hydropsychidae,Evenness,CAL_DWN,CAL_UP,6,6,18,1,1,ns
CAL,Araneid,Evenness,CAL_DWN,CAL_UP,5,6,24,0.126,0.126,ns
CAL,Larvae_Chironomidae,Evenness,CAL_DWN,CAL_UP,6,6,6,0.065,0.065,ns
CAL,Larvae_Heptageniidae,Evenness,CAL_DWN,CAL_UP,6,6,20,0.818,0.818,ns
CAL,Larvae_Hydropsychidae,Evenness,CAL_DWN,CAL_UP,6,6,9,0.18,0.18,ns
CAL,Tetragnatha,Evenness,CAL_DWN,CAL_UP,6,6,11,0.31,0.31,ns
HESP,Adult_Chironomidae,Evenness,HESP_DWN,HESP_UP,6,5,14,0.931,0.931,ns
HESP,Adult_Heptageniidae,Evenness,HESP_DWN,HESP_UP,6,5,17,0.792,0.792,ns
HESP,Adult_Hydropsychidae,Evenness,HESP_DWN,HESP_UP,4,6,20,0.114,0.114,ns
HESP,Araneid,Evenness,HESP_DWN,HESP_UP,6,6,25,0.31,0.31,ns
HESP,Larvae_Chironomidae,Evenness,HESP_DWN,HESP_UP,6,6,34,0.009,0.009,**
HESP,Larvae_Heptageniidae,Evenness,HESP_DWN,HESP_UP,6,6,21,0.699,0.699,ns
HESP,Larvae_Hydropsychidae,Evenness,HESP_DWN,HESP_UP,6,6,16,0.818,0.818,ns
HESP,Tetragnatha,Evenness,HESP_DWN,HESP_UP,6,3,6,0.548,0.548,ns
KIT,Adult_Chironomidae,Evenness,KIT_DWN,KIT_UP,6,6,21,0.699,0.699,ns
KIT,Adult_Heptageniidae,Evenness,KIT_DWN,KIT_UP,5,6,16,0.931,0.931,ns
KIT,Adult_Hydropsychidae,Evenness,KIT_DWN,KIT_UP,5,6,22,0.247,0.247,ns
KIT,Araneid,Evenness,KIT_DWN,KIT_UP,6,6,13,0.485,0.485,ns
KIT,Larvae_Chironomidae,Evenness,KIT_DWN,KIT_UP,6,6,20,0.818,0.818,ns
KIT,Larvae_Heptageniidae,Evenness,KIT_DWN,KIT_UP,6,6,11,0.31,0.31,ns
KIT,Larvae_Hydropsychidae,Evenness,KIT_DWN,KIT_UP,6,6,18,1,1,ns
KIT,Tetragnatha,Evenness,KIT_DWN,KIT_UP,4,6,15,0.61,0.61,ns
WAT,Adult_Chironomidae,Evenness,WAT_DWN,WAT_UP,6,5,0,0.004,0.004,**
WAT,Adult_Heptageniidae,Evenness,WAT_DWN,WAT_UP,4,6,4,0.114,0.114,ns
WAT,Adult_Hydropsychidae,Evenness,WAT_DWN,WAT_UP,6,5,12,0.662,0.662,ns
WAT,Araneid,Evenness,WAT_DWN,WAT_UP,6,6,22,0.589,0.589,ns
WAT,Larvae_Chironomidae,Evenness,WAT_DWN,WAT_UP,6,6,35,0.004,0.004,**
WAT,Larvae_Heptageniidae,Evenness,WAT_DWN,WAT_UP,6,6,6,0.065,0.065,ns
WAT,Larvae_Hydropsychidae,Evenness,WAT_DWN,WAT_UP,6,6,0,0.002,0.002,**
