feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV624	Lifestage	.L	Lifestage.L	-2.91709379846171	0	0.756926304908875	0.000116266461981413	0.0546452371312639	0.000232519406072643	0.0934728012412026	NA	prevalence	93	28	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	nealsonii
ASV3	Lifestage	.L	Lifestage.L	2.77630102644216	0	0.77353332561012	0.000331800870882093	0.0779732046572919	0.000663491649946268	0.1333618216392	NA	prevalence	93	22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	moraviensis
ASV5	Lifestage	.L	Lifestage.L	-2.58726410068064	0	0.748098302501522	0.00054328359853258	0.0851144304367708	0.00108627203999672	0.138273490329358	NA	prevalence	93	23	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Trichorickettsia	mobilis
ASV423	Lifestage	.L	Lifestage.L	2.98150742268737	0.784059577214013	0.408241383766288	0.00137585562516774	0.161663035957209	0.00137585562516774	0.138273490329358	NA	abundance	93	23	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	caprae
ASV340	Lifestage	.L	Lifestage.L	-1.53952411486583	0	0.559365914930085	0.00591843209786706	0.46361051433292	0.0118018363572371	0.790723035934883	NA	prevalence	93	16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	anthracis
ASV1209	Location	UP	LocationUP	-2.370929008345	0	0.895503612624062	0.00810670820463614	0.544307550882712	0.00810670820463614	0.651779339652746	NA	prevalence	93	13	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 11	senegalense
ASV870	Lifestage	.L	Lifestage.L	1.14605949323826	0	0.45727140076628	0.0122001919627944	0.716761277814174	0.0242515392416599	0.914228517483257	NA	prevalence	93	17	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuberculostearicum
ASV477	Lifestage	.L	Lifestage.L	-1.39896627666075	0	0.567762160023962	0.0137395899190533	0.717511917995006	0.0272904035069629	0.914228517483257	NA	prevalence	93	14	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	aurantiacum
ASV783	Location	UP	LocationUP	-1.77853513126645	0	0.740798248860804	0.0163576641283424	0.768810214032094	0.0163576641283424	0.914228517483257	NA	prevalence	93	14	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paraclostridium	bifermentans
ASV3	Location	UP	LocationUP	-2.96483280367433	0.270818222333988	1.1737631297385	0.0200901069546665	0.786862522391105	0.0397766015118831	1	NA	abundance	93	22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	moraviensis
ASV1084	Location	UP	LocationUP	-1.60943442094699	0	0.683130799280282	0.0184745005042071	0.786862522391105	0.0184745005042071	0.914228517483257	NA	prevalence	93	16	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	terricola
ASV3605	Location	UP	LocationUP	-1.38642624262559	0	0.612378770935323	0.023574043947753	0.85229235811107	0.023574043947753	0.914228517483257	NA	prevalence	93	24	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	acetoxidans
ASV667	Lifestage	.L	Lifestage.L	-1.98094152783733	0	0.891317483553627	0.0262504110301709	0.881263798870023	0.0262504110301709	0.914228517483257	NA	prevalence	93	8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	cosmopolitanus
ASV3913	Lifestage	.L	Lifestage.L	-1.64452089348121	0	0.765344998864277	0.0316556916057584	0.99187833698043	0.0623093004004779	1	NA	prevalence	93	10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	putida
ASV468	Lifestage	.L	Lifestage.L	-0.761916921017125	0	0.359113632751894	0.0338663254426228	0.994823309877045	0.06658572288626	1	NA	prevalence	93	69	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	stevensii
ASV1037	Lifestage	.L	Lifestage.L	2.52415531123702	0.784059577214013	1.2120956508845	0.234080182722495	1	0.119268310382505	1	NA	abundance	93	8	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	acetylicum
ASV1037	Location	UP	LocationUP	0.102927233160476	0.270818222333988	3.51299886551451	0.970416920881455	1	0.716424030577523	1	NA	abundance	93	8	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	acetylicum
ASV1045	Lifestage	.L	Lifestage.L	-0.633243760491909	0.784059577214013	0.585833596126069	0.131873978096431	1	0.246357210093883	1	NA	abundance	93	9	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	globiformis
ASV1045	Location	UP	LocationUP	-1.32443297488936	0.270818222333988	0.61832779458955	0.145962080422496	1	0.20675343253835	1	NA	abundance	93	9	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	globiformis
ASV1079	Lifestage	.L	Lifestage.L	0.783015862439177	0.784059577214013	0.944019659247167	0.999200151696292	1	0.881008807598479	1	NA	abundance	93	7	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	undae
ASV1079	Location	UP	LocationUP	-0.012477707537513	0.270818222333988	1.46246896750267	0.863643285765945	1	0.50260884791658	1	NA	abundance	93	7	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	undae
