feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV702	Lifestage	.L	Lifestage.L	-2.96969051956243	0	0.505456789085305	4.22177858481686e-09	3.3309833034205e-06	8.44355715181029e-09	5.20967476266695e-06	NA	prevalence	91	49	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	blasticus
ASV121	Lifestage	.L	Lifestage.L	-2.82542730742013	0	0.517233192171846	4.69265902373038e-08	1.85125398486163e-05	9.38531782725025e-08	2.8953705497067e-05	NA	prevalence	91	45	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Pseudarcicella	hirudinis
ASV280	Lifestage	.L	Lifestage.L	4.93765051180696	0	0.923371330044234	8.92188551614435e-08	2.34645589074596e-05	1.78437702362883e-07	3.66986874526329e-05	NA	prevalence	91	42	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	fungorum
ASV499	Lifestage	.L	Lifestage.L	-2.14605518134557	0	0.448123076483643	1.67626095893789e-06	0.000330642474150499	3.35251910802498e-06	0.000517126072412854	NA	prevalence	91	35	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	vulgare
ASV260	Lifestage	.L	Lifestage.L	-1.83438351567583	0	0.403330255792244	5.41342122668219e-06	0.000829901212099542	1.0826813148235e-05	0.0012065342357308	NA	prevalence	91	48	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	taeniospiralis
ASV279	Lifestage	.L	Lifestage.L	-3.81985855755372	0	0.845907697214239	6.31103583345659e-06	0.000829901212099542	1.26220318377399e-05	0.0012065342357308	NA	prevalence	91	34	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	limosa
ASV667	Lifestage	.L	Lifestage.L	2.01690264864346	0	0.458098852550555	1.06878783734953e-05	0.00105409200458598	2.13756425162466e-05	0.00146541904805824	NA	prevalence	91	50	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	cosmopolitanus
ASV914	Lifestage	.L	Lifestage.L	-2.72086248506821	0	0.617791242244531	1.061858207278e-05	0.00105409200458598	2.12370513912748e-05	0.00146541904805824	NA	prevalence	91	31	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	litoralis
ASV389	Lifestage	.L	Lifestage.L	-3.07074517830528	0.0913725964000504	0.540200967564806	1.36883948948389e-05	0.00110644059771055	1.36883948948389e-05	0.0012065342357308	NA	abundance	91	26	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	greenlandense
ASV1107	Lifestage	.L	Lifestage.L	2.26878331983474	0	0.522340419904309	1.40233282346077e-05	0.00110644059771055	2.80464598154806e-05	0.00173046657061516	NA	prevalence	91	29	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	sasangense
ASV3	Lifestage	.L	Lifestage.L	3.12897765539132	0	0.785204868833015	6.75032005423736e-05	0.00484182047526661	0.000135001844402664	0.00757237618149486	NA	prevalence	91	26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	moraviensis
ASV201	Lifestage	.L	Lifestage.L	-4.66190311315104	0	1.18899269724391	8.82245206335648e-05	0.00580076223165689	0.000176441257701089	0.0090720213334643	NA	prevalence	91	36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	terrae
ASV638	Lifestage	.L	Lifestage.L	-1.98971288293743	0	0.516889631584529	0.000118409442162929	0.00718654229742702	0.000236804863529866	0.0112391231383021	NA	prevalence	91	29	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 5	cavendishii
ASV262	Lifestage	.L	Lifestage.L	-1.30446336005064	0	0.343914630607912	0.000148846584585652	0.00838856823129141	0.000297671013865562	0.0131187868253608	NA	prevalence	91	53	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	estertheticum
ASV260	Lifestage	.L	Lifestage.L	-1.76116073136532	0.0913725964000504	0.41567817917248	0.000179601783496095	0.00944705381189457	1.0826813148235e-05	0.0012065342357308	NA	abundance	91	48	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	taeniospiralis
