feature	ASV3	ASV5	ASV14	ASV19	ASV40	ASV42	ASV58	ASV67	ASV74	ASV75	ASV93	ASV99	ASV121	ASV135	ASV146	ASV147	ASV163	ASV191	ASV192	ASV199	ASV201	ASV207	ASV260	ASV262	ASV279	ASV280	ASV302	ASV307	ASV309	ASV315	ASV316	ASV340	ASV389	ASV423	ASV436	ASV465	ASV468	ASV477	ASV488	ASV489	ASV499	ASV500	ASV503	ASV512	ASV533	ASV548	ASV558	ASV582	ASV583	ASV622	ASV624	ASV629	ASV638	ASV645	ASV667	ASV702	ASV725	ASV730	ASV755	ASV761	ASV783	ASV798	ASV809	ASV824	ASV847	ASV860	ASV862	ASV869	ASV870	ASV896	ASV904	ASV905	ASV914	ASV944	ASV957	ASV1030	ASV1037	ASV1045	ASV1054	ASV1056	ASV1064	ASV1066	ASV1071	ASV1079	ASV1084	ASV1086	ASV1105	ASV1107	ASV1161	ASV1209	ASV1214	ASV1226	ASV1240	ASV1293	ASV1304	ASV1316	ASV1342	ASV1346	ASV1348	ASV1416	ASV1417	ASV1485	ASV1500	ASV1501	ASV1526	ASV1536	ASV1543	ASV1547	ASV1564	ASV1583	ASV1597	ASV1614	ASV1764	ASV1783	ASV1827	ASV1832	ASV1834	ASV1835	ASV1838	ASV1843	ASV1863	ASV1904	ASV1931	ASV1957	ASV1973	ASV1977	ASV1995	ASV2009	ASV2019	ASV2091	ASV2159	ASV2178	ASV2216	ASV2255	ASV2319	ASV2323	ASV2328	ASV2385	ASV2449	ASV2521	ASV2528	ASV2549	ASV2551	ASV2642	ASV2650	ASV2679	ASV2721	ASV2730	ASV2737	ASV2764	ASV2784	ASV2786	ASV2796	ASV2813	ASV2964	ASV2994	ASV2999	ASV3005	ASV3081	ASV3132	ASV3199	ASV3233	ASV3245	ASV3283	ASV3298	ASV3333	ASV3338	ASV3399	ASV3415	ASV3439	ASV3453	ASV3464	ASV3493	ASV3516	ASV3524	ASV3542	ASV3569	ASV3605	ASV3609	ASV3775	ASV3799	ASV3809	ASV3817	ASV3835	ASV3860	ASV3878	ASV3882	ASV3890	ASV3902	ASV3913	ASV4023	ASV4037	ASV4057	ASV4094	ASV4102	ASV4116	ASV4138	ASV4189	ASV4242	ASV4243	ASV4265	ASV4273	ASV4315	ASV4322	ASV4339	ASV4518	ASV4542	ASV4543	ASV4547	ASV4565	ASV4592	ASV4598	ASV4662	ASV4700	ASV4744	ASV4755	ASV4810	ASV4852	ASV4892	ASV5024	ASV5025	ASV5029	ASV5131	ASV5145	ASV5164	ASV5302	ASV5304	ASV5340	ASV5469	ASV5501	ASV5593	ASV5616	ASV5622	ASV5658	ASV5728	ASV5764	ASV5775	ASV5785	ASV5848	ASV5856	ASV5899	ASV5905	ASV5954	ASV5960	ASV6025	ASV6062	ASV6106	ASV6258	ASV6392	ASV6436	ASV6450	ASV6454	ASV6654	ASV6655	ASV6681	ASV6741	ASV6767	ASV6852	ASV6870	ASV7133	ASV7202	ASV7440	ASV7496	ASV7581	ASV7687	ASV7715	ASV7787	ASV7791	ASV7794	ASV7797	ASV7801	ASV7990	ASV8089	ASV8252	ASV8257	ASV8339	ASV8386	ASV8388	ASV8394	ASV8426	ASV8557	ASV8565	ASV8648	ASV8895	ASV8900	ASV9125	ASV9254	ASV9496	ASV9537	ASV9542	ASV9691	ASV9792	ASV9955	ASV10007	ASV10037	ASV10229	ASV10284	ASV10370	ASV10375	ASV10534	ASV10779	ASV11168	ASV11309	ASV11310	ASV11366	ASV11951	ASV11961	ASV12223	ASV12706	ASV12754	ASV12817	ASV12951	ASV12959	ASV14385	ASV14888	ASV15093	ASV15820	ASV16123	ASV16626	ASV16684	ASV17097	ASV17930	ASV20363	ASV21388
KK2578	NA	NA	NA	NA	NA	NA	NA	NA	-7.03782146543497	NA	NA	NA	NA	NA	NA	-5.77478705960117	NA	-7.55239463826473	NA	NA	NA	NA	-5.55239463826473	-3.93348480562023	NA	-7.55239463826473	NA	-6.65930984218124	NA	NA	NA	-4.47710651096049	NA	-5.18982455888002	NA	-4.38246963682241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.03782146543497	NA	-5.15029619469338	NA	-3.03782146543497	NA	NA	NA	NA	NA	NA	NA	NA	-6.03782146543497	NA	NA	NA	NA	-4.83618760426532	-6.90031794168503	NA	NA	NA	NA	NA	NA	NA	-6.77478705960117	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.95035862418463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.03782146543497	NA	NA	NA	NA	NA	-6.27228671907199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.55239463826473	NA	NA	NA	NA	NA	NA	NA	-6.35974956032233	-6.90031794168503	NA	NA	-5.35974956032233	NA	NA	NA	-6.11182204687874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.95035862418463	NA	NA	-5.40555324993545	-5.31535544096388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.18982455888002	-8.03782146543497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.03782146543497	NA	NA	NA	NA	NA	NA	-4.09296301962743	NA	NA	NA	NA	NA	-6.77478705960117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.83618760426532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.83618760426532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.77478705960117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2579	NA	NA	NA	NA	NA	NA	-7.22560913401999	NA	-7.3955341354623	NA	NA	NA	NA	NA	NA	-4.51289108610046	NA	NA	NA	NA	NA	NA	-4.87197217940529	NA	NA	-6.22560913401999	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.73732265271051	-4.90368103913263	NA	-5.3955341354623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.93610251682501	NA	NA	NA	-4.3955341354623	NA	-5.22560913401999	NA	NA	NA	NA	-6.93610251682501	NA	NA	-5.35114001610385	NA	NA	NA	NA	-7.3955341354623	-5.93610251682501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.3955341354623	NA	NA	NA	-3.85637532435427	NA	NA	NA	NA	-5.81057163474115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.81057163474115	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.93610251682501	NA	-6.5881792134047	NA	NA	-5.3955341354623	-5.5881792134047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.93610251682501	NA	NA	NA	NA	NA	NA	NA	NA	-5.18608076983335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.5881792134047	NA	NA	-5.69509441732121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.81057163474115	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.22560913401999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.61417442193764	NA	NA	NA	NA	NA	NA	NA	NA	-6.14760662201872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.07360604057494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2581	-10.8699793329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1695396147589	NA	-5.13526971267412	NA	-0.15026966350979	NA	NA	NA	NA	-10.2850168321788	-8.91578302251309	NA	NA	NA	NA	NA	NA	NA	-7.78251649164962	NA	NA	NA	-7.49493990155304	-10.5480512380126	-8.5480512380126	NA	NA	NA	NA	NA	NA	NA	NA	-9.4776619101212	-9.34641737684295	NA	-7.51242732828188	NA	NA	NA	NA	-7.41054771426266	NA	NA	NA	NA	NA	NA	-9.78251649164962	NA	-10.2850168321788	NA	NA	NA	-9.78251649164962	NA	NA	NA	NA	NA	NA	NA	-9.28501683217881	NA	-10.4105477142627	NA	NA	NA	NA	NA	-7.96308873729144	NA	NA	NA	-7.53012933001534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7000543314577	NA	NA	NA	NA	NA	NA	NA	-9.01199833777239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.84207333633008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7000543314577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7000543314577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.96308873729144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.9648221672267	-1.16932360285889	NA	NA	NA	NA	NA	NA	NA	NA	-7.9648221672267	-4.37985966650555	NA	-5.87735932597636	NA	NA	NA	NA	NA	-5.7684249544232	NA	NA	NA	-6.09035304931056	NA	NA	NA	NA	-7.54978466794786	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.82186421338466	NA	NA	NA	-2.85978669652841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.9648221672267	NA	NA	NA	NA	-7.64289407233934	NA	NA	NA	-6.26438244908561	NA	NA	NA	NA	NA	NA	NA	-4.75536880159775	NA	NA	NA	NA	NA	-5.64289407233934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.54978466794786	-8.09035304931056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.59558835756098	NA	NA	-6.30185715450427	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.54978466794786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.2278565730605	-5.54978466794786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.02622271189085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.54978466794786	NA	NA	NA	NA	NA	NA	NA	-7.02622271189085	NA	NA	NA	-8.74242974589026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.69180367282029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.9648221672267	NA	NA	NA	-7.9648221672267	NA	NA	-7.46232182669752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.2278565730605	NA	NA	NA	NA	NA	NA	NA	NA	-7.54978466794786	-7.84934494980677	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.54978466794786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.37985966650555	-9.9648221672267	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.46232182669752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2583	NA	NA	NA	NA	-9.1331422124006	NA	NA	-6.37825471023713	NA	NA	NA	NA	-7.43270249425951	-2.04302979273631	NA	-6.08874809304215	NA	NA	NA	NA	NA	NA	NA	-5.81121411751324	NA	-4.77559020778252	NA	-7.22625161679208	NA	NA	NA	-4.98339509289592	NA	NA	NA	-5.74082478962184	-5.57855336072296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.57855336072296	NA	NA	-7.54817971167945	NA	NA	NA	-3.22625161679208	NA	NA	-7.6737105937633	-7.04567937115026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.77559020778252	NA	NA	-7.96321721095829	NA	-7.43270249425951	NA	NA	NA	-4.96321721095829	NA	NA	NA	NA	NA	NA	NA	-4.69019871655187	-10.1331422124006	NA	NA	NA	-7.96321721095829	-7.325787290343	NA	NA	-6.88521469895702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.22625161679208	NA	NA	NA	-7.54817971167945	NA	NA	NA	NA	NA	NA	-7.22625161679208	NA	NA	-6.6737105937633	NA	-5.46071687042911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.77559020778252	NA	NA	NA	NA	NA	NA	NA	-7.6737105937633	NA	NA	-6.00385919545564	NA	NA	NA	NA	NA	-7.96321721095829	NA	NA	NA	-7.1331422124006	NA	-6.96321721095829	-7.04567937115026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.48928602262588	NA	NA	NA	NA	-7.54817971167945	NA	-8.1331422124006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.46071687042911	NA	NA	NA	NA	NA	-6.43270249425951	NA	NA	NA	NA	NA	NA	-7.22625161679208	NA	NA	NA	NA	NA	-5.64128911607093	NA	NA	-5.92368884677165	NA	NA	NA	NA	NA	NA	NA	-6.88521469895702	NA	NA	-6.81121411751324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.1331422124006	NA	NA	-6.43270249425951	NA	NA	NA	NA	NA	-7.6737105937633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.54817971167945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.81121411751324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2584	NA	NA	NA	NA	NA	-6.54960257353122	NA	NA	NA	NA	NA	NA	-5.2672028428305	-1.73391637688166	NA	NA	NA	NA	NA	NA	NA	NA	-5.71466181980172	NA	NA	-5.15914309697304	NA	NA	NA	NA	NA	-5.34966500302247	NA	NA	NA	-3.80485962877329	-5.73668812613171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.23549398310316	-9.17409343843901	NA	-5.92616592499543	NA	-6.58913093771786	NA	-3.76470250230131	NA	NA	NA	NA	NA	-6.08663059718867	NA	NA	NA	-6.54960257353122	NA	NA	-6.9010749440326	NA	NA	-7.95170101710257	NA	NA	NA	NA	NA	NA	NA	NA	-4.88869121957677	-4.55938359432381	NA	NA	NA	NA	NA	NA	-3.44617298387581	NA	NA	NA	NA	NA	-7.51112842571658	NA	NA	NA	-8.05861622101908	NA	NA	NA	NA	NA	-7.36673851638141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.14434609504496	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.23549398310316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.80485962877329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.23549398310316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.40150393454209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.36673851638141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.85216534355165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.0041684369967	NA	-6.6297729222152	NA	-7.23549398310316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.95170101710257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.05861622101908	-8.75905593916017	NA	-9.75905593916017	NA	-7.29962432052287	NA	NA	NA	NA	NA	NA	NA	NA
KK2585	NA	-6.67578905308001	NA	-5.83928778536289	NA	NA	NA	NA	NA	NA	NA	-7.48314397513762	NA	-2.83448679909907	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.16121588025025	NA	-6.60867485722148	NA	NA	NA	NA	-3.64184172115668	-4.19774175627537	-10.0681064758588	NA	NA	-6.18546342649693	NA	-6.5762533795291	-7.48314397513762	NA	NA	NA	NA	NA	NA	NA	NA	-6.02371235650032	NA	NA	NA	NA	NA	NA	-3.81544104340852	-7.36766675771768	NA	NA	-5.32663948945763	NA	NA	-8.16121588025026	NA	NA	-6.60867485722148	NA	NA	NA	NA	NA	-6.78270425699653	NA	NA	-7.54454451980176	NA	-4.29992215108185	NA	-6.82017896241519	NA	-6.5762533795291	NA	NA	NA	NA	NA	NA	NA	-4.88819738584384	NA	NA	NA	NA	NA	-4.43148185531512	NA	NA	-6.93882345891381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.34018602129557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.36766675771768	NA	NA	NA	NA	NA	NA	NA	-5.98064363460843	NA	NA	-5.06810647585877	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.82017896241519	NA	-5.23521646169403	NA	NA	-6.54454451980176	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.1139101654719	NA	NA	NA	NA	NA	-5.65871553972107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.78270425699653	NA	NA	NA	NA	NA	NA	NA	NA	-6.74617838097141	NA	NA	NA	NA	-6.71055447124069	NA	NA	NA	NA	NA	-8.26075155380117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.48314397513762	NA	NA	NA	NA	-6.45339663174356	NA	NA	NA	NA	-6.93882345891381	NA	NA	NA	NA	-6.60867485722148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.54454451980176	NA	NA	NA	-7.02371235650032	NA	NA	NA	-7.67578905308001	-6.45339663174356	NA	NA	NA	-6.78270425699653	NA	NA	NA	NA	-7.60867485722148	-6.74617838097141	NA	NA	NA	NA	NA	NA	NA	-6.74617838097141	NA	NA	NA	NA	NA	NA	-8.48314397513762	-7.82017896241519	NA	NA	NA	NA	-6.51351762418114	NA	-8.89818147441646	-8.74617838097141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2586	-9.05059074017647	NA	-7.55582604842689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.814359062025743	NA	NA	NA	NA	NA	NA	NA	NA	-7.3807393418688	-7.1880942639264	NA	-6.00222771861507	NA	NA	NA	NA	NA	-7.3807393418688	-9.34009735737145	NA	NA	-7.05059074017647	NA	NA	NA	NA	-7.34009735737145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.1880942639264	-7.26209484537018	NA	NA	NA	NA	NA	NA	NA	-6.95543350713613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.60313176320525	NA	-8.26209484537018	NA	-5.92505985809261	NA	NA	NA	NA	NA	NA	NA	-4.85897066763484	NA	NA	NA	NA	-8.117704936035	-5.44393316835599	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.05059074017647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.05059074017647	NA	NA	NA	NA	NA	NA	NA	-8.05059074017647	NA	NA	NA	NA	NA	NA	NA	-9.34009735737145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.7551348566503	-5.12631806633971	NA	NA	NA	NA	NA	NA	NA	-7.60313176320525	NA	NA	-6.28120366831788	NA	NA	NA	NA	NA	NA	NA	-7.7551348566503	NA	-4.93259353077802	NA	-8.92505985809261	NA	NA	NA	NA	NA	NA	NA	NA	-7.26209484537018	NA	NA	NA	-7.117704936035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.00222771861507	NA	NA	NA	NA	NA	NA	-7.42255951756343	NA	NA	NA	NA	NA	-7.65204136368619	NA	NA	NA	NA	NA	NA	-7.65204136368619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.48765454578531	NA	NA	NA	NA	NA	NA	NA	-7.15247035419568	NA	NA	NA	NA	NA	NA	-7.117704936035	NA	NA	NA	NA	NA	NA	NA	-6.62737930945192	NA	NA	NA	NA	NA	NA	-7.22462013995152	NA	NA	NA	NA	NA	NA	-7.86616616903904	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.51002235881377	NA	-6.34009735737145	NA	NA	NA	NA	NA	-7.51002235881376	-8.80958264067267	NA	NA	-11.5100223588138	NA	NA	NA	NA	-10.1880942639264	NA	-8.117704936035	NA	NA	NA	NA	NA	NA	-9.70266743675616	-7.80958264067267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2587	-5.29308841200738	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.29308841200738	NA	NA	-1.34180369704041	NA	-8.41861929409124	NA	NA	NA	NA	NA	NA	NA	-4.34666945221222	NA	-6.15013045816534	NA	-8.55612281784117	NA	NA	NA	-4.92385460234166	-7.63012339928495	NA	NA	-6.02006991760096	-8.41861929409124	NA	NA	NA	-6.45178615802644	NA	NA	NA	NA	NA	NA	-6.52049890811045	NA	-6.38619781639886	NA	NA	NA	NA	-3.78001882976801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.97116031712002	NA	NA	NA	-5.08363504637843	NA	-7.48573348994978	NA	-7.23419472295381	NA	NA	NA	-4.12316341056507	NA	NA	NA	NA	NA	-3.4900336273834	NA	NA	-8.17761119458744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.17761119458744	NA	NA	NA	NA	NA	NA	-9.07069599067093	NA	NA	NA	NA	NA	NA	-7.55612281784117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.81196172227076	NA	NA	NA	NA	NA	NA	NA	-6.70812591128622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.29308841200738	NA	NA	NA	NA	NA	NA	NA	NA	-6.87805091272854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.97116031712002	NA	NA	NA	NA	-7.48573348994978	NA	NA	NA	-7.7905880714782	NA	NA	NA	NA	NA	NA	NA	NA	-6.74876789578357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.55612281784117	-7.17761119458744	-10.2930884120074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.26334106861333	NA	NA	NA	NA	NA	NA	NA	NA	-8.29308841200738	NA	NA	NA	NA	NA	NA	-6.45178615802644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.92385460234166	NA	NA	-8.29308841200738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.63012339928495	NA	NA	NA	NA	NA	NA	NA	-7.70812591128622	NA	NA	NA	NA	NA	NA	NA	-8.55612281784117	NA	NA	NA	NA
KK2588	NA	NA	-7.22560913401999	NA	NA	NA	NA	NA	-5.35114001610385	NA	NA	-6.48864353985378	NA	NA	-3.08265118017795	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.00321671268354	-2.85637532435427	NA	-3.76617751538269	NA	NA	NA	NA	NA	-3.56264412129756	NA	NA	-7.22560913401999	NA	NA	-6.81057163474115	NA	-2.95259063961357	-4.72310879349081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.48864353985378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.43553220339422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.00321671268354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
