"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV702"	"Lifestage"	".L"	"Lifestage.L"	-2.96969051956243	0	0.505456789085305	4.22177858481686e-09	3.3309833034205e-06	8.44355715181029e-09	5.20967476266695e-06	NA	"prevalence"	91	49
"ASV121"	"Lifestage"	".L"	"Lifestage.L"	-2.82542730742013	0	0.517233192171846	4.69265902373038e-08	1.85125398486163e-05	9.38531782725025e-08	2.8953705497067e-05	NA	"prevalence"	91	45
"ASV280"	"Lifestage"	".L"	"Lifestage.L"	4.93765051180696	0	0.923371330044234	8.92188551614435e-08	2.34645589074596e-05	1.78437702362883e-07	3.66986874526329e-05	NA	"prevalence"	91	42
"ASV499"	"Lifestage"	".L"	"Lifestage.L"	-2.14605518134557	0	0.448123076483643	1.67626095893789e-06	0.000330642474150499	3.35251910802498e-06	0.000517126072412854	NA	"prevalence"	91	35
"ASV260"	"Lifestage"	".L"	"Lifestage.L"	-1.83438351567583	0	0.403330255792244	5.41342122668219e-06	0.000829901212099542	1.0826813148235e-05	0.0012065342357308	NA	"prevalence"	91	48
"ASV279"	"Lifestage"	".L"	"Lifestage.L"	-3.81985855755372	0	0.845907697214239	6.31103583345659e-06	0.000829901212099542	1.26220318377399e-05	0.0012065342357308	NA	"prevalence"	91	34
"ASV667"	"Lifestage"	".L"	"Lifestage.L"	2.01690264864346	0	0.458098852550555	1.06878783734953e-05	0.00105409200458598	2.13756425162466e-05	0.00146541904805824	NA	"prevalence"	91	50
"ASV914"	"Lifestage"	".L"	"Lifestage.L"	-2.72086248506821	0	0.617791242244531	1.061858207278e-05	0.00105409200458598	2.12370513912748e-05	0.00146541904805824	NA	"prevalence"	91	31
"ASV389"	"Lifestage"	".L"	"Lifestage.L"	-3.07074517830528	0.0913725964000504	0.540200967564806	1.36883948948389e-05	0.00110644059771055	1.36883948948389e-05	0.0012065342357308	NA	"abundance"	91	26
"ASV1107"	"Lifestage"	".L"	"Lifestage.L"	2.26878331983474	0	0.522340419904309	1.40233282346077e-05	0.00110644059771055	2.80464598154806e-05	0.00173046657061516	NA	"prevalence"	91	29
"ASV3"	"Lifestage"	".L"	"Lifestage.L"	3.12897765539132	0	0.785204868833015	6.75032005423736e-05	0.00484182047526661	0.000135001844402664	0.00757237618149486	NA	"prevalence"	91	26
"ASV201"	"Lifestage"	".L"	"Lifestage.L"	-4.66190311315104	0	1.18899269724391	8.82245206335648e-05	0.00580076223165689	0.000176441257701089	0.0090720213334643	NA	"prevalence"	91	36
"ASV638"	"Lifestage"	".L"	"Lifestage.L"	-1.98971288293743	0	0.516889631584529	0.000118409442162929	0.00718654229742702	0.000236804863529866	0.0112391231383021	NA	"prevalence"	91	29
"ASV262"	"Lifestage"	".L"	"Lifestage.L"	-1.30446336005064	0	0.343914630607912	0.000148846584585652	0.00838856823129141	0.000297671013865562	0.0131187868253608	NA	"prevalence"	91	53
"ASV260"	"Lifestage"	".L"	"Lifestage.L"	-1.76116073136532	0.0913725964000504	0.41567817917248	0.000179601783496095	0.00944705381189457	1.0826813148235e-05	0.0012065342357308	NA	"abundance"	91	48
"ASV1977"	"Lifestage"	".L"	"Lifestage.L"	-1.84339233835482	0	0.507422548695106	0.000280302986962125	0.0138224410445698	0.000560527404159751	0.0230563605577711	NA	"prevalence"	91	24
"ASV3605"	"Lifestage"	".L"	"Lifestage.L"	-2.67399655418723	0	0.75280312079288	0.000382237916920749	0.0177403362617924	0.000764329728016366	0.0294744651366311	NA	"prevalence"	91	24
"ASV667"	"Lifestage"	".L"	"Lifestage.L"	1.80491648459873	0.0913725964000504	0.417828173715756	0.000456359980412788	0.0191391062287439	2.13756425162466e-05	0.00146541904805824	NA	"abundance"	91	50
"ASV1209"	"Lifestage"	".L"	"Lifestage.L"	-1.99404158190528	0	0.569317371238546	0.000460891024519814	0.0191391062287439	0.000921569628503145	0.0334475565168495	NA	"prevalence"	91	22
"ASV121"	"Lifestage"	".L"	"Lifestage.L"	-2.03120044748824	0.0913725964000504	0.541539981500297	0.000652501532143087	0.0245154147076617	9.38531782725025e-08	2.8953705497067e-05	NA	"abundance"	91	45
"ASV512"	"Lifestage"	".L"	"Lifestage.L"	-2.16491114676058	0	0.633405917944263	0.000631088289749277	0.0245154147076617	0.0012617783070691	0.0432509564145351	NA	"prevalence"	91	19
"ASV896"	"Lifestage"	".L"	"Lifestage.L"	-1.61577731391158	0	0.479018751154935	0.000743274241078359	0.0266565171004921	0.00148599602555927	0.0482557656721089	NA	"prevalence"	91	23
"ASV1084"	"Lifestage"	".L"	"Lifestage.L"	-2.54085250902641	0	0.767274713206889	0.000927876026513317	0.0318301819530003	0.00185489109910606	0.0544984670546875	NA	"prevalence"	91	20
"ASV503"	"Lifestage"	".L"	"Lifestage.L"	2.63106205422931	0	0.803100250918588	0.00105239536643699	0.0338843516521005	0.00210368319686668	0.0589987514757609	NA	"prevalence"	91	16
