"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV262"	"Lifestage"	".L"	"Lifestage.L"	-2.55816451247636	0	0.462942424180755	3.27837235798627e-08	1.39330825214416e-05	6.55674460849527e-08	2.29486061297335e-05	NA	"prevalence"	92	46
"ASV260"	"Lifestage"	".L"	"Lifestage.L"	-4.27656894459216	0	0.819669129896043	1.81419602825338e-07	3.85516656003844e-05	3.62839172737604e-07	6.34968552290807e-05	NA	"prevalence"	92	44
"ASV14"	"Lifestage"	".L"	"Lifestage.L"	-3.0543478615203	1.30538804105873	0.668716523905555	1.17829328333885e-06	0.000166924881806336	2.35658517830263e-06	0.00027493493746864	NA	"abundance"	92	50
"ASV702"	"Lifestage"	".L"	"Lifestage.L"	-2.86678926026854	0	0.602495554953583	1.95335090513259e-06	0.000207543533670338	3.90669799468543e-06	0.000341836074534975	NA	"prevalence"	92	33
"ASV1536"	"Lifestage"	".L"	"Lifestage.L"	-2.42561914268484	0	0.522040238236621	3.37742081199693e-06	0.000252055296792948	6.75483021702251e-06	0.000415149161959694	NA	"prevalence"	92	33
"ASV863"	"Lifestage"	".L"	"Lifestage.L"	-3.17026042459149	0	0.683889084809438	3.55842771942986e-06	0.000252055296792948	7.11684277645189e-06	0.000415149161959694	NA	"prevalence"	92	33
"ASV499"	"Lifestage"	".L"	"Lifestage.L"	-4.3293079829192	0	0.967825572290895	7.70462312693016e-06	0.000409308103618165	1.54091868926428e-05	0.00077045934463214	NA	"prevalence"	92	44
"ASV488"	"Lifestage"	".L"	"Lifestage.L"	-3.75835606304546	0	0.904542813224346	3.25317939554793e-05	0.00153622360345319	6.50625295933408e-05	0.00284648566970866	NA	"prevalence"	92	31
"ASV3605"	"Lifestage"	".L"	"Lifestage.L"	-2.46580309450366	1.30538804105873	0.623055428742032	0.000130327231935824	0.00545443267223383	0.000260637478684264	0.00898313732468831	NA	"abundance"	92	18
"ASV624"	"Lifestage"	".L"	"Lifestage.L"	-1.74068292883024	0	0.457339930797605	0.00014117355151664	0.00545443267223383	0.000282327173061633	0.00898313732468831	NA	"prevalence"	92	27
"ASV3"	"Lifestage"	".L"	"Lifestage.L"	4.44706886428895	1.30538804105873	0.655981320760128	0.000193784281730431	0.00660358376584361	0.000193784281730431	0.00753605540062787	NA	"abundance"	92	42
"ASV1977"	"Lifestage"	".L"	"Lifestage.L"	-2.09551480834388	0	0.563839092553684	0.00020199197401404	0.00660358376584361	0.000403943147270514	0.0117816751287233	NA	"prevalence"	92	23
"ASV163"	"Lifestage"	".L"	"Lifestage.L"	-2.6716688030493	0	0.776184326119946	0.000577313785773609	0.0175255970681274	0.00115429428033997	0.0310771537014608	NA	"prevalence"	92	22
"ASV638"	"Lifestage"	".L"	"Lifestage.L"	-2.57535335585444	0	0.770650447085366	0.000832394675423955	0.0235845158036787	0.00166409646995224	0.0416024117488059	NA	"prevalence"	92	20
"ASV3605"	"Lifestage"	".L"	"Lifestage.L"	-2.71581920409388	0	0.836423506880475	0.00116651870451517	0.0309856530886842	0.000260637478684264	0.00898313732468831	NA	"prevalence"	92	18
"ASV3605"	"Location"	"UP"	"LocationUP"	-2.61176008265806	0	0.82646202561645	0.00157677382383112	0.0394193455957781	0.00315106143197073	0.0735247667459837	NA	"prevalence"	92	18
"ASV672"	"Lifestage"	".L"	"Lifestage.L"	-2.28010565705734	0	0.80296112241829	0.00451670926061329	0.106644524208925	0.00901301785868167	0.185562132384623	NA	"prevalence"	92	14
"ASV14"	"Lifestage"	".L"	"Lifestage.L"	-6.85360907560863	0	2.48708400315449	0.00585701646679393	0.131012210441443	2.35658517830263e-06	0.00027493493746864	NA	"prevalence"	92	50
"ASV1045"	"Lifestage"	".L"	"Lifestage.L"	4.81105619559486	1.30538804105873	0.696785522125897	0.00867634096400163	0.184372245485035	0.00867634096400163	0.185562132384623	NA	"abundance"	92	9
"ASV40"	"Lifestage"	".L"	"Lifestage.L"	-1.93788615819921	0	0.758675110863688	0.0106400601457927	0.215334550569614	0.0211669094116793	0.370420914704387	NA	"prevalence"	92	13
"ASV199"	"Lifestage"	".L"	"Lifestage.L"	-4.36817336485995	0	1.76905978819027	0.0135413171036801	0.250219989959307	0.0135413171036801	0.263303388127114	NA	"prevalence"	92	14
"ASV863"	"Location"	"UP"	"LocationUP"	1.68907095477775	0	0.683809691120719	0.0135079352969314	0.250219989959307	0.0268334062778767	0.447223437964611	NA	"prevalence"	92	33
"ASV1597"	"Location"	"UP"	"LocationUP"	-10.85763149663	0.287752426131588	1.38362535915714	0.0164672184192493	0.266652573806716	0.0326632675560313	0.507890452897263	NA	"abundance"	92	6
"ASV702"	"Lifestage"	".L"	"Lifestage.L"	3.91146474369856	1.30538804105873	0.941295757497513	0.0157607484118664	0.266652573806716	3.90669799468543e-06	0.000341836074534975	NA	"abundance"	92	33
"ASV135"	"Location"	"UP"	"LocationUP"	2.5212713854194	0	1.03819029934412	0.0151603682456661	0.266652573806716	0.0151603682456661	0.279269941367533	NA	"prevalence"	92	11
"ASV1832"	"Lifestage"	".L"	"Lifestage.L"	-1.53959851430699	0	0.648359610011134	0.0175676989802072	0.266652573806716	0.0348267739129552	0.507890452897263	NA	"prevalence"	92	12
"ASV730"	"Lifestage"	".L"	"Lifestage.L"	1.17357444498074	0	0.493724863681836	0.0174550039909675	0.266652573806716	0.0346053308176104	0.507890452897263	NA	"prevalence"	92	14
"ASV465"	"Location"	"UP"	"LocationUP"	-2.21356584867815	0.287752426131588	0.856337713104292	0.0204785052051412	0.300116024558104	0.0405376412348455	0.525487941933183	NA	"abundance"	92	22
"ASV1832"	"Lifestage"	".L"	"Lifestage.L"	-1.37012351972718	1.30538804105873	0.883912951547909	0.0216377800195938	0.306535216944245	0.0348267739129552	0.507890452897263	NA	"abundance"	92	12
"ASV4094"	"Lifestage"	".L"	"Lifestage.L"	-3.31787240995667	1.30538804105873	1.43539849904493	0.0269137486497341	0.355930395621019	0.0531031474330872	0.596204172995781	NA	"abundance"	92	8
"ASV340"	"Lifestage"	".L"	"Lifestage.L"	0.823059855853598	0	0.373710149632106	0.0276369483658674	0.355930395621019	0.0545100958167571	0.596204172995781	NA	"prevalence"	92	22
"ASV4023"	"Lifestage"	".L"	"Lifestage.L"	-1.79777323421639	0	0.808987422509897	0.0262663371001535	0.355930395621019	0.0518427537356482	0.596204172995781	NA	"prevalence"	92	10
"ASV4810"	"Location"	"UP"	"LocationUP"	-3.03116619660896	0	1.46194388281768	0.0381368658484239	0.476710823105298	0.0381368658484239	0.525487941933183	NA	"prevalence"	92	7
"ASV147"	"Location"	"UP"	"LocationUP"	-1.17931537174736	0.287752426131588	0.46944531098017	0.0398644654004781	0.484068508434377	0.0398644654004781	0.525487941933183	NA	"abundance"	92	38
"ASV1120"	"Location"	"UP"	"LocationUP"	-1.26569045888143	0	0.624542401007184	0.0427045117801214	0.5041504862931	0.0427045117801214	0.533806397251518	NA	"prevalence"	92	29
"ASV207"	"Location"	"UP"	"LocationUP"	-2.52732938813377	0	1.27410934070491	0.047299915078798	0.543309835364572	0.047299915078798	0.570861044054459	NA	"prevalence"	92	7
"ASV1597"	"Lifestage"	".L"	"Lifestage.L"	-2.07257089971098	1.30538804105873	0.692010426050231	0.0511213291340601	0.571751707420409	0.0996292679756873	1	NA	"abundance"	92	6
"ASV4094"	"Lifestage"	".L"	"Lifestage.L"	-1.49145678678115	0	0.801285246402966	0.0626974976968378	0.670878221701381	0.0531031474330872	0.596204172995781	NA	"prevalence"	92	8
"ASV869"	"Lifestage"	".L"	"Lifestage.L"	1.45744357742259	0	0.784333407749135	0.0631414796895418	0.670878221701381	0.122296112921699	1	NA	"prevalence"	92	7
"ASV944"	"Lifestage"	".L"	"Lifestage.L"	-0.844725032388831	1.30538804105873	0.84749276646537	0.0655159223782612	0.679128463677098	0.126739508671448	1	NA	"abundance"	92	9
"ASV280"	"Location"	"UP"	"LocationUP"	-1.27092933047632	0	0.705057145945386	0.0714525462465903	0.72303171797145	0.0714525462465903	0.757830035948685	NA	"prevalence"	92	13
"ASV4023"	"Lifestage"	".L"	"Lifestage.L"	-2.00516524715798	1.30538804105873	1.53592910035367	0.0754705839957765	0.741693230288267	0.0518427537356482	0.596204172995781	NA	"abundance"	92	10
"ASV3132"	"Lifestage"	".L"	"Lifestage.L"	-1.03701486708774	0	0.58607013758787	0.0768207818192136	0.741693230288267	0.147740131119112	1	NA	"prevalence"	92	15
"ASV465"	"Lifestage"	".L"	"Lifestage.L"	-0.677850088160798	0	0.385302636869582	0.0785322243834636	0.741693230288267	0.150897138500312	1	NA	"prevalence"	92	22
"ASV1045"	"Location"	"UP"	"LocationUP"	-1.46541821429315	0	0.838326202332776	0.0804590676508332	0.743371820687046	0.154444473734425	1	NA	"prevalence"	92	9
"ASV622"	"Lifestage"	".L"	"Lifestage.L"	0.91113583985444	0	0.524984922582105	0.0826440206999307	0.747312953137672	0.158458007242411	1	NA	"prevalence"	92	11
"ASV3132"	"Lifestage"	".L"	"Lifestage.L"	-0.263936169841756	1.30538804105873	0.808773682098467	0.103666983663458	0.831291850131507	0.147740131119112	1	NA	"abundance"	92	15
"ASV702"	"Location"	"UP"	"LocationUP"	-1.06555223682724	0.287752426131588	0.622737409074782	0.098487175116895	0.831291850131507	0.187274626571284	1	NA	"abundance"	92	33
"ASV1158"	"Lifestage"	".L"	"Lifestage.L"	1.30674581095746	0	0.798912251050425	0.101911552198675	0.831291850131507	0.193437139925807	1	NA	"prevalence"	92	6
"ASV1931"	"Lifestage"	".L"	"Lifestage.L"	-1.42428195578966	0	0.867868203902947	0.10077105177819	0.831291850131507	0.10077105177819	1	NA	"prevalence"	92	6
"ASV340"	"Location"	"UP"	"LocationUP"	-0.86296865175729	0	0.521156290206193	0.0977475319068655	0.831291850131507	0.185940483819847	1	NA	"prevalence"	92	22
"ASV667"	"Lifestage"	".L"	"Lifestage.L"	0.740871160734503	0	0.454805510574583	0.10331628466334	0.831291850131507	0.195958314650043	1	NA	"prevalence"	92	13
"ASV783"	"Location"	"UP"	"LocationUP"	3.05495029276709	0.287752426131588	1.42359331261911	0.109446556489619	0.861384935334966	0.206914564251803	1	NA	"abundance"	92	11
"ASV163"	"Location"	"UP"	"LocationUP"	-1.37293018068595	0.287752426131588	0.866313507697806	0.112350739038643	0.868164801662243	0.212078789514757	1	NA	"abundance"	92	22
"ASV1597"	"Location"	"UP"	"LocationUP"	-1.78087006679225	0	1.1288750136613	0.114666320496041	0.870235468050311	0.0326632675560313	0.507890452897263	NA	"prevalence"	92	6
"ASV40"	"Location"	"UP"	"LocationUP"	1.03882998117445	0	0.677160394976522	0.125005700185181	0.875718540072648	0.234384975291575	1	NA	"prevalence"	92	13
"ASV4023"	"Location"	"UP"	"LocationUP"	-1.28497976624789	0	0.843335120834842	0.127586620315241	0.875718540072648	0.238894894947016	1	NA	"prevalence"	92	10
"ASV42"	"Location"	"UP"	"LocationUP"	-1.9914231576878	0	1.29298231490615	0.123516925379794	0.875718540072648	0.123516925379794	1	NA	"prevalence"	92	7
"ASV477"	"Lifestage"	".L"	"Lifestage.L"	0.928890478536654	0	0.609897466855903	0.12775188114001	0.875718540072648	0.239183219145209	1	NA	"prevalence"	92	8
"ASV488"	"Location"	"UP"	"LocationUP"	1.04999669194331	0	0.68425599191877	0.124904583582659	0.875718540072648	0.23420801216536	1	NA	"prevalence"	92	31
"ASV944"	"Lifestage"	".L"	"Lifestage.L"	-0.902087995248418	0	0.589989903006032	0.126267203060733	0.875718540072648	0.126739508671448	1	NA	"prevalence"	92	9
"ASV1037"	"Lifestage"	".L"	"Lifestage.L"	0.760459081324217	1.30538804105873	1.60095226589784	0.748131725908753	1	0.648775217132192	1	NA	"abundance"	92	8
"ASV1037"	"Location"	"UP"	"LocationUP"	-0.863910920472492	0.287752426131588	2.26408840714466	0.634838718410651	1	0.712163953598943	1	NA	"abundance"	92	8
"ASV1045"	"Location"	"UP"	"LocationUP"	0.838302078270026	0.287752426131588	0.82773683302424	0.595012280901239	1	0.154444473734425	1	NA	"abundance"	92	9
"ASV1064"	"Lifestage"	".L"	"Lifestage.L"	0.768093733698246	1.30538804105873	0.545446452785847	0.556256208808906	1	0.803091447779354	1	NA	"abundance"	92	5
