feature	ASV3	ASV14	ASV19	ASV40	ASV42	ASV58	ASV67	ASV74	ASV93	ASV99	ASV121	ASV135	ASV147	ASV163	ASV191	ASV192	ASV199	ASV201	ASV207	ASV260	ASV262	ASV279	ASV280	ASV302	ASV307	ASV315	ASV316	ASV340	ASV387	ASV402	ASV423	ASV455	ASV465	ASV468	ASV477	ASV488	ASV489	ASV498	ASV499	ASV503	ASV512	ASV533	ASV582	ASV583	ASV622	ASV624	ASV629	ASV638	ASV645	ASV667	ASV672	ASV702	ASV725	ASV730	ASV754	ASV755	ASV761	ASV783	ASV798	ASV809	ASV824	ASV847	ASV863	ASV869	ASV870	ASV896	ASV904	ASV914	ASV944	ASV951	ASV957	ASV1030	ASV1037	ASV1045	ASV1056	ASV1064	ASV1079	ASV1084	ASV1107	ASV1119	ASV1120	ASV1147	ASV1158	ASV1161	ASV1201	ASV1209	ASV1226	ASV1240	ASV1293	ASV1316	ASV1342	ASV1346	ASV1348	ASV1485	ASV1501	ASV1504	ASV1526	ASV1536	ASV1564	ASV1597	ASV1614	ASV1641	ASV1719	ASV1764	ASV1832	ASV1834	ASV1838	ASV1843	ASV1904	ASV1931	ASV1973	ASV1977	ASV2019	ASV2091	ASV2216	ASV2255	ASV2281	ASV2385	ASV2449	ASV2521	ASV2631	ASV2721	ASV2730	ASV2763	ASV2771	ASV2779	ASV2786	ASV2796	ASV2868	ASV3005	ASV3051	ASV3132	ASV3171	ASV3199	ASV3245	ASV3298	ASV3333	ASV3349	ASV3373	ASV3399	ASV3449	ASV3500	ASV3605	ASV3678	ASV3775	ASV3809	ASV3835	ASV3882	ASV3913	ASV4023	ASV4057	ASV4094	ASV4101	ASV4102	ASV4116	ASV4138	ASV4243	ASV4265	ASV4315	ASV4338	ASV4438	ASV4662	ASV4810	ASV5145	ASV5215	ASV5302	ASV5340	ASV5848	ASV5873	ASV6356	ASV6392	ASV6454	ASV6654	ASV7202	ASV7440	ASV7717	ASV8426	ASV8525	ASV10208	ASV10292	ASV10339	ASV10534	ASV10599	ASV10850	ASV11775	ASV13149	ASV13259	ASV14237	ASV14524	ASV16513	ASV16811
KK2487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.46612006381532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.78269492420848	NA	NA	-5.74967986698052	NA	NA	NA	-1.22810607253084	-5.19328651845613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.66106547980695	NA	NA	NA	NA	-3.967726818041	-5.37267549969626	-5.88653073519302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.7961154399708	-5.91553060691557	NA	NA	NA	NA	-5.64883917747369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.0781508077346	NA	NA	NA	NA	NA	NA	-3.51799169801407	NA	NA	NA	NA	NA	-5.10295419873522	NA	NA	NA	-7.47149323591418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.86515708440045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.1479578813871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.46988597627446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.989620854220001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2489	-0.0476378722981056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.85595856146143	NA	NA	NA	-9.00796165490648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.06240943892886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.45906840889285	NA	NA	NA	NA	NA	NA	NA	-8.42299915418532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.98148944354529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.92995914290521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2490	-0.286835627364607	-6.30801391576262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.26987878687585	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.12668415104806	-5.25738784269265	NA	NA	NA	NA	NA	-6.36048133565676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.72305141504146	-5.84858229712532	NA	NA	NA	-7.02790599656988	NA	NA	NA	NA	-7.72305141504146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.75781683320214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.30801391576262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.75781683320214	NA	NA	NA	NA	NA	-6.94544383637791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.53040633709907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2491	NA	NA	NA	NA	NA	NA	NA	-7.58796498888268	NA	NA	NA	NA	-2.72006852489002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.97915574620716	NA	NA	NA	NA	NA	NA	NA	-4.53485365242312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.37851162325373	NA	NA	NA	NA	NA	NA	-3.37073427266201	NA	NA	NA	NA	NA	NA	NA	NA	-2.92120839699788	NA	NA	NA	NA	NA	NA	NA	NA	-9.90989308377004	NA	NA	NA	NA	NA	-3.77034173137125	-3.90989308377004	NA	-4.38633112771303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.53485365242312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.45046146513274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.43415965280364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2492	-0.11818558356657	NA	NA	NA	NA	NA	NA	NA	-6.93603085393435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.83072378500856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.2398116021114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2493	-4.14446942075964	-2.79083246614494	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.67053823242723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.68990355729416	NA	NA	NA	NA	NA	NA	NA	NA	-4.61395470406086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.89935692292311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.85496280356466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.88254863523656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.15788993652196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.99246632731459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.3757949668661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2494	-0.422608039845246	NA	NA	NA	NA	NA	NA	NA	-8.40981519582048	NA	NA	-4.38301513647676	NA	NA	NA	-3.74078843031085	NA	NA	NA	NA	NA	NA	-8.62740663089311	-3.99567966283603	-8.53010942953819	NA	NA	-7.61072788974648	NA	NA	NA	NA	NA	-7.38124604362371	-9.19569039046763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.53010942953819	NA	NA	NA	NA	NA	-7.82485269509932	NA	NA	NA	NA	NA	-9.53010942953819	NA	NA	-7.7868848449003	NA	NA	-8.66135396281644	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.59423976695791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.29878388343174	-7.66135396281644	NA	-6.97685578854437	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.88374638415289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.89380004881681	NA	NA	NA	NA	-9.80574387215162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.55495336190997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.18516694372603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.27262978497637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.27262978497637	NA	NA	NA	-2.66529947122676	NA	NA	NA	-2.63600516443272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.95974682969201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.18516694372603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KK2496	-4.92633835783674	-6.10142506439483	NA	NA	NA	NA	NA	NA	NA	-7.53205941872469	NA	-2.60647272940627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.28083431518053	NA	NA	-5.50103252310407	NA	NA	NA	NA	-5.30073387261824	NA	NA	NA	NA	NA	NA	-9.05562137478171	NA	NA	NA	NA	NA	NA	NA	-4.64623043864401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.84616800915276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.98953218432394	NA	NA	NA	-4.66330395200295	-1.7484205656409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.92633835783674	-7.96815853353137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.62935662007961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.8856963733394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.2482664527241	NA	-8.47065887406055	NA	NA	NA	-8.59618975614441	NA	NA	NA	NA	NA	NA
