Sample ID #,Study ID #,Date on Sample,Study,Sample_Type,Lifestage,Taxa,Site,Site_ID,Location,Date Received,Notes,Illumina Plate Number,GPrep Plate #:,Notebook Reference
SOYUP1_Ad_Caddis_MB_1,KK2182,2022-08-02,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYUP1,UP,2022-12-21,Tube number: 1,LR461,369,
SOYUP1_Ad_Caddis_MB_2,KK2183,2022-08-02,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYUP1,UP,2022-12-21,2,LR461,369,
SOYUP1_Ad_Caddis_MB_3,KK2184,2022-08-02,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYUP1,UP,2022-12-21,3,LR461,369,
SOYUP1_Ad_Caddis_MB_4,KK2185,2022-08-02,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYUP1,UP,2022-12-21,4,LR461,369,
SOYUP1_Ad_Caddis_MB_5,KK2186,2022-08-02,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYUP1,UP,2022-12-21,5,LR461,369,
SOYUP1_Ad_Caddis_MB_6,KK2187,2022-08-02,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYUP1,UP,2022-12-21,6,LR461,369,
SOYDWN1_Ad_Caddis_MB_1,KK2188,2022-08-01,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYDWN1,DWN,2022-12-21,7,LR461,369,
SOYDWN1_Ad_Caddis_MB_2,KK2189,2022-08-01,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYDWN1,DWN,2022-12-21,8,LR461,369,
SOYDWN1_Ad_Caddis_MB_3,KK2190,2022-08-01,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYDWN1,DWN,2022-12-21,9,LR461,369,
SOYDWN1_Ad_Caddis_MB_4,KK2191,2022-08-01,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYDWN1,DWN,2022-12-21,10,LR461,369,
SOYDWN1_Ad_Caddis_MB_5,KK2192,2022-08-01,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYDWN1,DWN,2022-12-21,11,LR461,369,
SOYDWN1_Ad_Caddis_MB_6,KK2193,2022-08-01,KK Soyoil 2022,Adult_Caddis,Adult,Caddis,SOY,SOYDWN1,DWN,2022-12-21,12,LR461,369,
JC1_Ad_Caddis_MB_1,KK2194,2022-07-20,KK AltEn 2022,Adult_Caddis,Adult,Caddis,JC1,JC1,JC1,2022-12-21,13,LR461,369,
JC1_Ad_Caddis_MB_2,KK2195,2022-07-20,KK AltEn 2022,Adult_Caddis,Adult,Caddis,JC1,JC1,JC1,2022-12-21,14,LR462,369,
JC1_Ad_Caddis_MB_3,KK2196,2022-07-20,KK AltEn 2022,Adult_Caddis,Adult,Caddis,JC1,JC1,JC1,2022-12-21,15,LR462,369,
JC1_Ad_Caddis_MB_4,KK2197,2022-07-20,KK AltEn 2022,Adult_Caddis,Adult,Caddis,JC1,JC1,JC1,2022-12-21,16,LR462,369,
JC1_Ad_Caddis_MB_5,KK2198,2022-07-20,KK AltEn 2022,Adult_Caddis,Adult,Caddis,JC1,JC1,JC1,2022-12-21,17,LR462,369,
